source,target,rho,abs_rho,sign,source_community,target_community,source_label,target_label
P4_13,P4_14,0.45640750267820607,0.45640750267820607,1,3,3,P4_13 Destaque de Perú en Obras públicas,P4_14 Destaque de Perú en Vivienda
P37_12,P37_16,0.45480522501364384,0.45480522501364384,1,4,4,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones,P37_16 Nivel de acuerdo con que la IA Controlará nuestra vida privada
P3_6,P3_8,0.45442013836290635,0.45442013836290635,1,5,5,P3_6 Aprecio por la profesión de Científico,P3_8 Aprecio por la profesión de Profesor
P3_4,P3_6,0.4537266935112124,0.4537266935112124,1,5,5,P3_4 Aprecio por la profesión de Empresario,P3_6 Aprecio por la profesión de Científico
P4_4,P4_10,0.45330490861451656,0.45330490861451656,1,3,3,P4_4 Destaque de Perú en Minería,P4_10 Destaque de Perú en Turismo
P37_1,P37_4,0.4525544813918136,0.4525544813918136,1,2,2,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida
P37_1,P37_10,0.45048935933002304,0.45048935933002304,1,2,2,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
P4_12,P4_14,0.4493540621785817,0.4493540621785817,1,3,3,P4_12 Destaque de Perú en Energía,P4_14 Destaque de Perú en Vivienda
P26_3,P30_2,0.44884679212058787,0.44884679212058787,1,2,2,"P26_3 La ciencia y la tecnología van a ayudar a curar enfermedades como el Sida, el cáncer, etcétera.",P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
P9_2,P9_5,0.4483891830518752,0.4483891830518752,1,1,1,P9_2 Lee las noticias científicas que se publican en los diarios,P9_5 Lee libros de divulgación científica
P37_2,P37_12,0.4472902400892915,0.4472902400892915,1,4,4,P37_2 Nivel de acuerdo con que la IA Amenaza el desarrollo de la sociedad,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones
P4_5,P4_13,0.44621054842765767,0.44621054842765767,1,3,3,P4_5 Destaque de Perú en Salud,P4_13 Destaque de Perú en Obras públicas
P9_4,P9_6,0.4456043355687205,0.4456043355687205,1,1,1,P9_4 Lee revistas de divulgación científica,P9_6 Usa Internet para buscar información científica
P26_1,P26_3,0.44498534216707575,0.44498534216707575,1,2,2,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,"P26_3 La ciencia y la tecnología van a ayudar a curar enfermedades como el Sida, el cáncer, etcétera."
P37_3,P37_10,0.44486841036999136,0.44486841036999136,1,2,2,P37_3 Nivel de acuerdo con que la IA Favorece el desarrollo de la economía,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
P6_6,P7_6,0.4430972322674525,0.4430972322674525,1,1,1,P6_6 Nivel de interés en Medicina y salud,P7_6 Nivel de información en Medicina y salud
P30_3,P37_1,0.4429712654966852,0.4429712654966852,1,2,2,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales
P1_2,P1_4,0.4427083088236149,0.4427083088236149,1,8,8,P1_2 Nivel de satisfacción con la situación económica del país,P1_4 Nivel de satisfacción con la calidad de la democracia
P9_3,P9_5,0.4418839708441752,0.4418839708441752,1,1,1,P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología,P9_5 Lee libros de divulgación científica
P4_6,P4_12,0.4416936595223101,0.4416936595223101,1,3,3,P4_6 Destaque de Perú en Desarrollo de tecnologías,P4_12 Destaque de Perú en Energía
P4_2,P4_12,0.44166269978322087,0.44166269978322087,1,3,3,P4_2 Destaque de Perú en Desarrollo de la industria,P4_12 Destaque de Perú en Energía
P7_5,P7_6,0.4415430913227726,0.4415430913227726,1,1,1,P7_5 Nivel de información en Ciencia y tecnología,P7_6 Nivel de información en Medicina y salud
P37_3,P37_13,0.4413461664391415,0.4413461664391415,1,2,2,P37_3 Nivel de acuerdo con que la IA Favorece el desarrollo de la economía,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud
P7_3,P7_6,0.44013647050053556,0.44013647050053556,1,1,1,P7_3 Nivel de información en Economía,P7_6 Nivel de información en Medicina y salud
P7_3,P7_5,0.43956230955380093,0.43956230955380093,1,1,1,P7_3 Nivel de información en Economía,P7_5 Nivel de información en Ciencia y tecnología
P37_8,P37_12,0.43919190119548407,0.43919190119548407,1,4,4,P37_8 Nivel de acuerdo con que la IA Es negativa para el desarrollo de la sociedad,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones
P9_1,P9_3,0.437780841384971,0.437780841384971,1,1,1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza",P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología
P24_2,P24_4,0.43752291511154123,0.43752291511154123,1,6,6,"P24_2 Como considera que son las condiciones de Equipamientos (materiales, máquinas, insumos, etc.)",P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o instituto público de investi...
P6_5,P9_6,0.43727889941402803,0.43727889941402803,1,1,1,P6_5 Nivel de interés en Ciencia y tecnología,P9_6 Usa Internet para buscar información científica
P26_5,P30_3,0.4366246778175969,0.4366246778175969,1,2,2,P26_5 El desarrollo científico-tecnológico ayudará a disminuir las desigualdades sociales.,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.
P4_8,P4_12,0.4339314497748734,0.4339314497748734,1,3,3,P4_8 Destaque de Perú en Investigación científica,P4_12 Destaque de Perú en Energía
P4_3,P4_10,0.43352205756165835,0.43352205756165835,1,3,3,P4_3 Destaque de Perú en Agricultura y ganadería,P4_10 Destaque de Perú en Turismo
P11,P14,0.4333732267275515,0.4333732267275515,1,6,6,P11 Qué tan atractiva diría que es la profesión de Científico,P14 Qué tan prestigiosa diría que es la profesión de Científico
P3_2,P3_10,0.4333100096369639,0.4333100096369639,1,5,5,P3_2 Aprecio por la profesión de Juez,P3_10 Aprecio por la profesión de Periodista
P4_6,P4_11,0.4309104641786956,0.4309104641786956,1,3,3,P4_6 Destaque de Perú en Desarrollo de tecnologías,P4_11 Destaque de Perú en Medioambiente
P9_2,P9_6,0.4300551353410514,0.4300551353410514,1,1,1,P9_2 Lee las noticias científicas que se publican en los diarios,P9_6 Usa Internet para buscar información científica
P1_3,P1_4,0.4279076115178783,0.4279076115178783,1,8,8,P1_3 Nivel de satisfacción con la situación ambiental del país,P1_4 Nivel de satisfacción con la calidad de la democracia
P26_1,P30_2,0.4278270532265195,0.4278270532265195,1,2,2,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
P4_5,P4_14,0.4276433768393572,0.4276433768393572,1,3,3,P4_5 Destaque de Perú en Salud,P4_14 Destaque de Perú en Vivienda
P4_11,P4_12,0.4273569762774997,0.4273569762774997,1,3,3,P4_11 Destaque de Perú en Medioambiente,P4_12 Destaque de Perú en Energía
P37_7,P37_10,0.42667155348575936,0.42667155348575936,1,2,2,P37_7 Nivel de acuerdo con que la IA Ayudará a crear más empleos,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
P30_6,P30_7,0.42632462306918445,0.42632462306918445,1,2,2,P30_6 Gracias a la ciencia y la tecnología los recursos del planeta no se extinguirán nunca.,P30_7 La ciencia y la tecnología contribuyen a mejorar el medio ambiente.
P26_1,P30_1,0.4243709800411053,0.4243709800411053,1,2,2,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,P30_1 Gracias a la ciencia y la tecnología nuestros hijos van a tener más oportunidades.
P4_8,P4_11,0.42427525565991,0.42427525565991,1,3,3,P4_8 Destaque de Perú en Investigación científica,P4_11 Destaque de Perú en Medioambiente
P4_3,P4_12,0.42424346284679926,0.42424346284679926,1,3,3,P4_3 Destaque de Perú en Agricultura y ganadería,P4_12 Destaque de Perú en Energía
P4_8,P4_9,0.4238262002845587,0.4238262002845587,1,3,3,P4_8 Destaque de Perú en Investigación científica,P4_9 Destaque de Perú en Educación
P4_6,P4_9,0.42298545670609344,0.42298545670609344,1,3,3,P4_6 Destaque de Perú en Desarrollo de tecnologías,P4_9 Destaque de Perú en Educación
P7_4,P3_5,0.42268818995481483,0.42268818995481483,1,5,5,P7_4 Nivel de información en Religión,P3_5 Aprecio por la profesión de Religioso
P24_1,P24_4,0.42201570391581916,0.42201570391581916,1,6,6,"P24_1 Como considera que son las condiciones de Infraestructuras (edificios, laboratorios, etc.)",P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o instituto público de investi...
