y_apoya_aumento,w_norm,P41,P42,p43_grupo,mod0_5,mod0_1_dep,idx_capital_informativo,idx_participacion_cultural_cientifica,idx_confianza_valoracion_cientificos,idx_institucionalidad_cti,idx_optimismo_tecnocientifico,idx_actitudes_ia_riesgos_beneficios,idx_percepcion_capacidades_nacionales,idx_contexto_pais,perfil
1.0,1.9475912539255735,Mujer,36,educación media,D,Lima,-0.06591840275007993,0.14740666422667487,0.6823052962355876,-0.3913978487307429,0.036482595893828094,0.19615119770243586,-0.47844112052549564,-0.6794473404670549,3
1.0,0.2962410787985078,Mujer,36,educación media,B,Cajamarca,-0.15717491862079372,0.1373470171370821,0.04764896269686175,0.4001270157720809,-0.1697046404411567,0.07219269259090083,-0.01584272073098486,0.5688594038860743,3
1.0,0.40039962442126337,Mujer,36,educación básica,C,Loreto,-0.12748003994055873,-0.2885744989365212,-0.11614568040828166,0.6505941779022086,-0.8503076429582842,-0.4764815407980947,-0.014211372442003812,0.5688594038860743,1
1.0,1.9475912539255735,Mujer,36,educación media,C,Lima,-0.1278371334891304,-0.4377801757739754,0.1259644474381494,0.07638335020847457,-0.5897866882202463,-0.6223137070131326,0.05889915731364955,-0.046930292160145014,1
1.0,0.636102444228568,Mujer,36,educación superior,D,Cusco,0.28268649418098224,-0.14733108176085086,-0.0005779778677248639,-0.2283199451063049,0.3553171109781023,0.4226531494439489,-0.3309698343496991,-0.3836850082439692,3
1.0,0.9112271755379048,Varón,36,educación media,B,Piura,-0.3012837886320106,-0.14603560991544867,0.2146068146286514,-0.2283199451063049,1.1398211019125666,0.06415365967841853,-0.24164989389169458,-0.34687497357390085,3
1.0,1.9475912539255735,Mujer,36,educación superior,D,Lima,0.2202821163834669,-0.14603560991544867,0.395466154636998,-0.8628336623745748,-1.5515937691497241,-0.17249077665894502,0.27950931597471906,0.23210468780225008,1
1.0,0.636102444228568,Varón,36,educación básica,B,Cusco,-0.4173065028244539,0.15353191734011049,-0.455286416036726,-0.1726362449123289,-0.753264035518436,-0.21149057145928382,-0.5475410693643463,-0.07676487067588238,1
1.0,0.636102444228568,Varón,36,educación superior,B,Cusco,0.07007052184571042,0.719928160787022,-0.0036607899921606707,-0.195903645834614,-0.13391515466063036,-0.4160921366940124,0.8303267508465065,-0.5994230004999235,3
1.0,1.9475912539255735,Mujer,36,educación superior,C,Lima,0.4942426661647941,0.01708248217145589,0.07158798532679106,-0.00955834128789088,0.3926678651754528,-0.018426446639941196,0.12630436401304107,-0.34687497357390085,3
1.0,0.6057317449894515,Varón,36,educación superior,B,Áncash,-0.05507351231547996,-0.15402495103418742,-0.1491188683830328,0.4534101064758385,0.30657608547475046,0.4341756509190846,-0.2383416052896482,-0.04999617721050285,3
1.0,0.40039962442126337,Varón,36,educación media,B,Loreto,-0.3763982368120612,-0.13951067765780098,-0.3103385984280511,0.29646370320037313,-0.03235994074182907,0.027325649195785364,0.5101845672299641,0.25887338126762965,3
1.0,0.6057317449894515,Varón,36,educación superior,C,Áncash,-0.16377985691967117,-0.15470084938945114,-0.07315267715355324,0.22434801194293932,0.1367122563398834,-0.03725368784661358,0.05303138528304209,-0.6526786470016754,3
1.0,0.4427814456412548,Mujer,37,educación superior,D,Junín,0.7433139308492721,0.3027043522105296,0.5197963017279594,0.08219810811719896,0.3277412851680109,0.5314526510353565,0.4466083372898944,0.5688594038860743,2
1.0,0.6094400561917035,Mujer,37,educación superior,A,Arequipa,0.37194893718170596,-0.012251807348881316,0.7877369895872501,0.642055386618389,-0.31817377791162416,-0.5761889689302466,0.2920336690461377,-0.6526786470016754,2
1.0,0.40039962442126337,Varón,37,educación media,B,Loreto,0.5114708118690523,0.5786391728472677,0.8483774478062625,0.7999167629800614,-0.7308858599869856,-0.8454413575705273,0.81796456288593,0.8746630773138488,2
1.0,0.6057317449894515,Varón,37,educación media,C,Áncash,-0.05853379726534974,-0.14806730354010458,-0.20905480842097648,0.797314413230141,-0.44654624543530896,-0.07852061847968905,0.66578436728849,1.7903974547738237,2
1.0,0.4427814456412548,Varón,37,educación superior,D,Junín,0.5737436108320254,0.14589427692563323,1.1736506448938644,0.5785528094117268,0.4769732981691444,0.2734850354587386,-0.46483409284465854,0.2410295648666268,2
